image_id,has_defect,p_defect,max_confidence
1,1,0.1353,0.2907
10,0,0.0318,0.1572
100,1,0.8728,0.8596
101,0,0.0228,0.1370
102,1,0.8216,0.7989
103,1,0.9167,0.9278
104,0,0.0228,0.1370
105,1,0.8897,0.8834
106,1,0.8391,0.8182
107,1,0.6791,0.6739
108,0,0.0648,0.2118
109,0,0.0259,0.1444
11,1,0.9095,0.9151
110,1,0.2840,0.4085
111,1,0.7280,0.7123
112,1,0.3920,0.4807
113,1,0.1640,0.3166
114,1,0.5224,0.5651
115,0,0.0717,0.2211
116,0,0.0083,0.0902
117,1,0.8781,0.8668
118,1,0.4824,0.5391
119,1,0.5847,0.6066
12,1,0.2497,0.3841
120,1,0.6104,0.6242
121,1,0.9018,0.9022
122,1,0.7949,0.7718
123,1,0.8686,0.8540
124,1,0.3364,0.4442
125,1,0.7427,0.7246
126,1,0.1368,0.2921
127,1,0.5402,0.5768
128,1,0.6010,0.6177
129,1,0.5869,0.6081
13,0,0.0299,0.1533
130,1,0.6660,0.6641
131,1,0.8930,0.8883
132,1,0.9093,0.9147
133,1,0.8992,0.8981
134,1,0.7675,0.7463
135,0,0.0022,0.0528
136,1,0.7215,0.7070
137,0,0.0005,0.0289
138,1,0.9229,0.9395
139,1,0.8340,0.8124
14,1,0.4813,0.5384
140,0,0.0509,0.1913
141,1,0.1523,0.3064
142,0,0.0423,0.1770
143,1,0.6579,0.6581
144,1,0.5763,0.6009
145,1,0.5051,0.5538
146,0,0.0022,0.0524
147,0,0.0053,0.0755
148,1,0.6119,0.6253
149,1,0.1681,0.3202
15,0,0.0043,0.0687
150,1,0.4857,0.5413
151,1,0.2218,0.3633
152,1,0.1261,0.2819
153,1,0.3651,0.4632
154,1,0.8247,0.8022
155,1,0.8833,0.8742
156,1,0.5961,0.6143
157,1,0.8996,0.8987
158,1,0.5100,0.5570
159,1,0.8680,0.8533
16,1,0.7799,0.7576
160,1,0.9204,0.9347
161,1,0.8471,0.8274
162,1,0.7745,0.7526
163,1,0.6552,0.6561
164,1,0.2012,0.3473
165,1,0.5162,0.5611
166,1,0.8458,0.8258
167,1,0.5973,0.6152
168,1,0.9046,0.9068
169,1,0.8937,0.8894
17,1,0.1888,0.3374
170,1,0.7154,0.7021
171,1,0.8442,0.8239
172,1,0.1381,0.2933
173,1,0.3919,0.4807
174,1,0.8760,0.8640
175,1,0.6637,0.6623
176,1,0.7517,0.7323
177,1,0.8357,0.8143
178,1,0.6305,0.6383
179,1,0.4561,0.5222
18,1,0.6136,0.6265
180,1,0.3987,0.4851
181,1,0.4302,0.5055
182,1,0.6722,0.6687
183,0,0.0176,0.1231
184,1,0.8894,0.8830
185,1,0.3851,0.4763
186,1,0.4206,0.4992
187,0,0.0434,0.1791
188,1,0.7327,0.7162
189,1,0.9409,0.9781
19,1,0.2004,0.3467
190,0,0.0148,0.1147
191,0,0.0716,0.2210
192,1,0.4370,0.5098
193,1,0.8895,0.8831
194,1,0.1213,0.2771
195,1,0.8373,0.8161
196,1,0.8151,0.7921
197,1,0.8049,0.7817
198,0,0.0751,0.2255
199,1,0.3066,0.4241
2,1,0.8968,0.8942
20,1,0.8937,0.8894
200,1,0.9112,0.9180
201,1,0.3583,0.4587
202,1,0.6884,0.6810
203,1,0.6383,0.6439
204,1,0.5304,0.5704
205,1,0.8252,0.8028
206,0,0.0941,0.2483
207,1,0.1107,0.2663
208,1,0.7039,0.6930
209,1,0.9242,0.9420
21,1,0.3585,0.4589
210,1,0.6224,0.6326
211,1,0.5638,0.5925
212,1,0.7660,0.7449
213,1,0.3098,0.4263
214,1,0.8416,0.8210
215,1,0.1689,0.3208
216,1,0.7849,0.7622
217,1,0.7608,0.7403
218,1,0.3710,0.4671
219,1,0.1328,0.2883
22,1,0.3859,0.4768
220,1,0.3464,0.4508
221,0,0.0249,0.1421
222,0,0.0479,0.1865
223,1,0.8586,0.8413
224,1,0.3561,0.4572
225,1,0.4318,0.5065
226,1,0.8938,0.8896
227,1,0.7996,0.7764
228,1,0.1899,0.3383
229,1,0.9323,0.9587
23,0,0.0112,0.1021
230,1,0.4710,0.5317
231,1,0.5099,0.5569
232,0,0.0214,0.1335
233,1,0.5345,0.5730
234,1,0.6762,0.6717
235,1,0.5366,0.5744
236,1,0.5393,0.5762
237,1,0.7643,0.7433
238,1,0.8628,0.8466
239,0,0.0198,0.1292
24,1,0.8188,0.7959
240,1,0.6540,0.6552
241,1,0.1534,0.3073
242,1,0.7392,0.7217
243,1,0.7655,0.7444
244,0,0.0315,0.1566
245,1,0.9046,0.9067
246,1,0.3461,0.4507
247,0,0.0338,0.1613
248,1,0.2790,0.4050
249,1,0.2032,0.3489
25,1,0.4899,0.5440
250,0,0.0082,0.0900
251,1,0.6873,0.6801
252,1,0.2787,0.4048
253,1,0.3503,0.4534
254,1,0.1789,0.3292
255,1,0.7572,0.7371
256,1,0.7594,0.7391
257,1,0.7725,0.7507
258,1,0.8417,0.8211
259,1,0.6795,0.6742
26,1,0.7113,0.6988
260,1,0.3069,0.4243
261,1,0.5959,0.6142
262,1,0.6909,0.6828
263,1,0.8133,0.7902
264,1,0.7082,0.6963
265,1,0.4873,0.5423
266,0,0.0070,0.0841
267,1,0.6813,0.6755
268,0,0.0037,0.0650
269,1,0.7633,0.7425
27,1,0.2410,0.3777
270,1,0.8082,0.7850
271,1,0.8707,0.8569
272,1,0.4669,0.5291
273,1,0.8260,0.8036
274,1,0.6595,0.6593
275,1,0.8454,0.8254
276,1,0.4445,0.5147
277,1,0.8004,0.7772
278,1,0.5014,0.5514
279,1,0.8165,0.7936
28,0,0.0591,0.2038
280,1,0.1626,0.3154
281,1,0.8281,0.8059
282,1,0.7973,0.7741
283,1,0.3252,0.4367
284,1,0.3616,0.4609
285,1,0.7056,0.6943
286,1,0.4029,0.4878
287,1,0.4321,0.5067
288,0,0.0399,0.1727
289,0,0.0192,0.1276
29,1,0.4961,0.5480
290,1,0.1187,0.2745
291,1,0.8958,0.8926
292,0,0.0593,0.2040
293,0,0.0123,0.1061
294,1,0.4047,0.4890
295,1,0.7981,0.7749
296,1,0.8521,0.8333
297,1,0.9076,0.9117
298,1,0.8466,0.8268
