image_id,has_defect,p_defect,max_confidence
1,1,0.5008,0.6345
10,1,0.3120,0.5149
100,1,0.8442,0.8846
101,0,0.0277,0.2150
102,1,0.8736,0.9170
103,1,0.8879,0.9347
104,0,0.0277,0.2150
105,1,0.8382,0.8785
106,1,0.8814,0.9264
107,1,0.5315,0.6536
108,1,0.3606,0.5469
109,0,0.0086,0.1444
11,1,0.8977,0.9476
110,1,0.4470,0.6013
111,1,0.8247,0.8652
112,1,0.6780,0.7485
113,0,0.0081,0.1412
114,1,0.6437,0.7252
115,1,0.3982,0.5708
116,0,0.0013,0.0769
117,1,0.8656,0.9077
118,1,0.3887,0.5649
119,1,0.7953,0.8384
12,1,0.7803,0.8256
120,1,0.8672,0.9096
121,1,0.8470,0.8875
122,1,0.7824,0.8274
123,1,0.7101,0.7712
124,1,0.8285,0.8689
125,1,0.5478,0.6637
126,1,0.2929,0.5018
127,1,0.2823,0.4944
128,1,0.3917,0.5668
129,1,0.5873,0.6886
13,0,0.0322,0.2262
130,1,0.6944,0.7599
131,1,0.8375,0.8778
132,1,0.8891,0.9361
133,1,0.8938,0.9423
134,1,0.8634,0.9053
135,0,0.0009,0.0674
136,1,0.6102,0.7032
137,0,0.0270,0.2129
138,1,0.8480,0.8886
139,1,0.8379,0.8782
14,0,0.0056,0.1252
140,0,0.0001,0.0309
141,1,0.6796,0.7496
142,0,0.0227,0.2006
143,1,0.5697,0.6774
144,1,0.2501,0.4713
145,1,0.5645,0.6741
146,0,0.0063,0.1297
147,0,0.0103,0.1536
148,1,0.6066,0.7009
149,0,0.0727,0.3000
15,0,0.0184,0.1868
150,1,0.4339,0.5932
151,1,0.3147,0.5166
152,1,0.5447,0.6618
153,1,0.3698,0.5528
154,1,0.7781,0.8238
155,1,0.8668,0.9091
156,1,0.3320,0.5282
157,1,0.7442,0.7967
158,1,0.6531,0.7315
159,1,0.8124,0.8537
16,1,0.7880,0.8321
160,1,0.8575,0.8987
161,1,0.8004,0.8429
162,1,0.8241,0.8647
163,1,0.6291,0.7156
164,1,0.3082,0.5123
165,1,0.5648,0.6743
166,1,0.8250,0.8656
167,1,0.3036,0.5092
168,1,0.8095,0.8511
169,1,0.8086,0.8502
17,1,0.6773,0.7480
170,1,0.7383,0.7921
171,1,0.8062,0.8481
172,1,0.7603,0.8093
173,1,0.6782,0.7486
174,1,0.6948,0.7602
175,1,0.4960,0.6316
176,1,0.6781,0.7485
177,1,0.8240,0.8646
178,0,0.0522,0.2672
179,1,0.5216,0.6474
18,1,0.1670,0.4043
180,1,0.7071,0.7690
181,1,0.1083,0.3454
182,1,0.8680,0.9105
183,1,0.6038,0.6991
184,1,0.8412,0.8815
185,0,0.0047,0.1179
186,1,0.5025,0.6356
187,1,0.1774,0.4135
188,1,0.6015,0.6976
189,1,0.7007,0.7644
19,1,0.5653,0.6746
190,0,0.0260,0.2103
191,1,0.2688,0.4849
192,1,0.7514,0.8022
193,1,0.8114,0.8528
194,0,0.0020,0.0879
195,1,0.8078,0.8495
196,1,0.7473,0.7991
197,1,0.7884,0.8325
198,1,0.3732,0.5550
199,1,0.3604,0.5468
2,1,0.8381,0.8784
20,1,0.8420,0.8824
200,1,0.8639,0.9057
201,1,0.6183,0.7085
202,1,0.8676,0.9100
203,1,0.4002,0.5721
204,1,0.8512,0.8920
205,1,0.8152,0.8563
206,0,0.0016,0.0814
207,0,0.0409,0.2456
208,1,0.8425,0.8828
209,1,0.8297,0.8701
21,0,0.0068,0.1333
210,1,0.8043,0.8464
211,1,0.5960,0.6941
212,1,0.8211,0.8619
213,1,0.6185,0.7086
214,1,0.8705,0.9134
215,1,0.5548,0.6681
216,1,0.8714,0.9144
217,1,0.8157,0.8568
218,1,0.5949,0.6934
219,1,0.5819,0.6851
22,1,0.6697,0.7427
220,1,0.4562,0.6070
221,0,0.0029,0.0997
222,1,0.6843,0.7529
223,1,0.8754,0.9192
224,1,0.6410,0.7234
225,1,0.7362,0.7906
226,1,0.8171,0.8581
227,1,0.6784,0.7488
228,1,0.3875,0.5641
229,1,0.8489,0.8895
23,1,0.1048,0.3414
230,1,0.6073,0.7014
231,1,0.4655,0.6127
232,1,0.2574,0.4767
233,1,0.7306,0.7863
234,1,0.7078,0.7696
235,1,0.2083,0.4392
236,1,0.3155,0.5172
237,1,0.7849,0.8295
238,1,0.9170,0.9761
239,1,0.4585,0.6084
24,1,0.6916,0.7580
240,1,0.7478,0.7995
241,0,0.0373,0.2380
242,1,0.7830,0.8279
243,1,0.7142,0.7742
244,1,0.5880,0.6890
245,1,0.8211,0.8618
246,1,0.6705,0.7433
247,0,0.0006,0.0581
248,1,0.5766,0.6818
249,1,0.6551,0.7328
25,1,0.5483,0.6640
250,1,0.1083,0.3454
251,1,0.7832,0.8281
252,1,0.5769,0.6819
253,1,0.5976,0.6951
254,1,0.7466,0.7985
255,1,0.7162,0.7757
256,1,0.8360,0.8762
257,1,0.7825,0.8275
258,1,0.5276,0.6511
259,0,0.0086,0.1441
26,1,0.6737,0.7455
260,1,0.6389,0.7220
261,1,0.6543,0.7323
262,1,0.6248,0.7128
263,1,0.8220,0.8627
264,1,0.8482,0.8887
265,1,0.4874,0.6263
266,0,0.0003,0.0486
267,1,0.6355,0.7197
268,0,0.0001,0.0352
269,1,0.7580,0.8074
27,1,0.5124,0.6417
270,1,0.8252,0.8657
271,1,0.7887,0.8328
272,1,0.2592,0.4779
273,1,0.7706,0.8176
274,1,0.8687,0.9113
275,1,0.7535,0.8039
276,0,0.0000,0.0113
277,1,0.7415,0.7946
278,0,0.0809,0.3114
279,1,0.8590,0.9004
28,1,0.1521,0.3906
280,1,0.2712,0.4866
281,1,0.7615,0.8102
282,1,0.6688,0.7421
283,1,0.3882,0.5646
284,1,0.5214,0.6473
285,1,0.8153,0.8564
286,1,0.7484,0.7999
287,1,0.2332,0.4586
288,0,0.0248,0.2069
289,1,0.3540,0.5427
29,1,0.6318,0.7173
290,1,0.2836,0.4954
291,1,0.8915,0.9393
292,1,0.4846,0.6246
293,0,0.0041,0.1123
294,1,0.3987,0.5712
295,1,0.6908,0.7574
296,1,0.7944,0.8377
297,1,0.8443,0.8847
298,1,0.7338,0.7887
299,1,0.7793,0.8248
3,1,0.8580,0.8993
30,1,0.2540,0.4742
300,1,0.5037,0.6364
301,1,0.8998,0.9505
302,1,0.7113,0.7721
303,1,0.8622,0.9039
304,1,0.7854,0.8299
305,1,0.7749,0.8211
306,1,0.2378,0.4621
307,1,0.5485,0.6641
308,0,0.0051,0.1205
309,1,0.7703,0.8174
31,1,0.8290,0.8694
310,1,0.7931,0.8365
311,0,0.0333,0.2289
312,1,0.6400,0.7227
313,1,0.5740,0.6802
314,1,0.5179,0.6451
315,1,0.8642,0.9061
316,1,0.7596,0.8087
317,1,0.7838,0.8285
318,0,0.0250,0.2076
319,1,0.9001,0.9509
32,1,0.8425,0.8828
320,1,0.4823,0.6231
321,1,0.8876,0.9342
322,1,0.2266,0.4536
323,1,0.8707,0.9136
324,1,0.7256,0.7826
325,1,0.7867,0.8310
326,1,0.6847,0.7531
327,1,0.6796,0.7496
328,1,0.7946,0.8378
329,1,0.7692,0.8165
33,1,0.7054,0.7678
330,1,0.5028,0.6358
331,0,0.0176,0.1839
332,1,0.7771,0.8229
333,1,0.3957,0.5693
334,1,0.4868,0.6259
335,1,0.5124,0.6417
336,1,0.2950,0.5032
337,1,0.8326,0.8729
338,0,0.0000,0.0000
339,1,0.2563,0.4758
34,1,0.8085,0.8501
