image_id,has_defect,p_defect,max_confidence
1,1,0.2694,0.4800
10,1,0.3973,0.5611
100,1,0.8548,0.8683
101,1,0.1027,0.3393
102,1,0.8526,0.8661
103,1,0.9157,0.9416
104,1,0.1027,0.3393
105,1,0.8038,0.8215
106,1,0.9064,0.9284
107,1,0.4728,0.6057
108,1,0.2652,0.4771
109,0,0.0516,0.2685
11,1,0.8838,0.8998
110,1,0.5473,0.6494
111,1,0.7886,0.8091
112,1,0.5687,0.6621
113,0,0.0057,0.1295
114,1,0.6382,0.7044
115,1,0.5530,0.6528
116,0,0.0584,0.2800
117,1,0.8728,0.8873
118,1,0.4712,0.6048
119,1,0.8681,0.8822
12,1,0.6647,0.7212
120,1,0.7706,0.7949
121,1,0.8601,0.8738
122,1,0.8237,0.8387
123,1,0.7928,0.8125
124,1,0.6679,0.7233
125,1,0.7435,0.7747
126,0,0.0761,0.3062
127,1,0.2792,0.4866
128,1,0.5643,0.6595
129,1,0.5231,0.6352
13,0,0.0015,0.0843
130,1,0.5661,0.6606
131,1,0.8679,0.8820
132,1,0.8626,0.8763
133,1,0.8943,0.9126
134,1,0.9285,0.9615
135,0,0.0001,0.0371
136,1,0.3976,0.5612
137,0,0.0031,0.1064
138,1,0.8617,0.8754
139,1,0.8511,0.8646
14,1,0.1637,0.3994
140,0,0.0066,0.1364
141,1,0.7013,0.7453
142,0,0.0040,0.1158
143,1,0.6971,0.7424
144,0,0.0005,0.0579
145,0,0.0432,0.2531
146,0,0.0004,0.0562
147,0,0.0586,0.2803
148,1,0.4334,0.5826
149,0,0.0706,0.2984
15,1,0.1440,0.3816
150,1,0.3607,0.5388
151,1,0.2052,0.4334
152,1,0.2002,0.4296
153,1,0.4828,0.6115
154,1,0.7586,0.7858
155,1,0.8699,0.8842
156,1,0.6161,0.6907
157,1,0.6957,0.7415
158,1,0.7071,0.7492
159,1,0.7912,0.8111
16,1,0.7527,0.7814
160,1,0.8806,0.8961
161,1,0.6921,0.7391
162,1,0.8796,0.8950
163,1,0.7802,0.8024
164,1,0.3308,0.5202
165,1,0.7169,0.7559
166,1,0.7546,0.7829
167,0,0.0684,0.2953
168,1,0.8297,0.8442
169,1,0.8477,0.8612
17,1,0.6588,0.7174
170,1,0.6385,0.7046
171,1,0.8124,0.8289
172,1,0.6975,0.7427
173,1,0.5686,0.6621
174,1,0.8170,0.8328
175,1,0.4771,0.6082
176,1,0.6734,0.7268
177,1,0.8436,0.8572
178,0,0.0496,0.2651
179,1,0.6023,0.6823
18,0,0.0208,0.1986
180,1,0.1998,0.4292
181,1,0.5961,0.6785
182,1,0.8589,0.8724
183,1,0.1658,0.4013
184,1,0.8734,0.8880
185,1,0.6141,0.6895
186,1,0.1200,0.3581
187,0,0.0729,0.3017
188,1,0.4696,0.6038
189,1,0.8907,0.9080
19,1,0.4595,0.5979
190,0,0.0028,0.1031
191,1,0.2449,0.4629
192,1,0.8231,0.8382
193,1,0.8252,0.8401
194,1,0.1744,0.4086
195,1,0.8351,0.8492
196,1,0.7576,0.7850
197,1,0.8779,0.8930
198,1,0.6314,0.7002
199,1,0.3615,0.5393
2,1,0.7845,0.8058
20,1,0.8946,0.9130
200,1,0.9206,0.9489
201,1,0.4952,0.6188
202,1,0.8750,0.8898
203,1,0.4773,0.6083
204,1,0.8711,0.8855
205,1,0.8524,0.8659
206,0,0.0126,0.1684
207,1,0.5371,0.6434
208,1,0.7506,0.7799
209,1,0.8015,0.8196
21,0,0.0133,0.1715
210,1,0.5687,0.6621
211,1,0.7147,0.7544
212,1,0.8270,0.8418
213,1,0.8430,0.8567
214,1,0.8831,0.8990
215,1,0.2917,0.4950
216,1,0.8942,0.9124
217,1,0.6822,0.7325
218,1,0.5752,0.6660
219,1,0.5064,0.6254
22,1,0.5601,0.6570
220,1,0.1521,0.3891
221,0,0.0028,0.1034
222,1,0.3795,0.5504
223,1,0.8875,0.9042
224,0,0.0792,0.3103
225,1,0.6379,0.7042
226,1,0.8705,0.8848
227,1,0.7285,0.7640
228,1,0.6523,0.7133
229,1,0.8890,0.9060
23,0,0.0405,0.2477
230,1,0.5338,0.6414
231,1,0.5403,0.6453
232,1,0.3106,0.5073
233,1,0.6597,0.7180
234,1,0.7711,0.7953
235,1,0.4273,0.5789
236,1,0.3900,0.5567
237,1,0.6466,0.7097
238,1,0.9279,0.9605
239,0,0.0792,0.3104
24,1,0.7817,0.8036
240,1,0.8406,0.8543
241,0,0.0619,0.2856
242,1,0.7079,0.7497
243,1,0.8682,0.8823
244,0,0.0511,0.2676
245,1,0.8901,0.9073
246,1,0.4445,0.5891
247,0,0.0027,0.1022
248,1,0.4071,0.5669
249,1,0.5253,0.6365
25,1,0.5023,0.6230
250,0,0.0100,0.1559
251,1,0.6577,0.7167
252,1,0.4092,0.5682
253,1,0.4443,0.5890
254,1,0.5659,0.6604
255,1,0.7993,0.8178
256,1,0.8946,0.9130
257,1,0.8095,0.8264
258,1,0.1684,0.4035
259,1,0.4885,0.6149
26,1,0.8580,0.8715
260,1,0.1369,0.3749
261,1,0.2235,0.4473
262,1,0.6250,0.6962
263,1,0.7846,0.8058
264,1,0.9037,0.9247
265,0,0.0623,0.2861
266,1,0.2977,0.4989
267,1,0.7155,0.7549
