image_id,has_defect,p_defect,max_confidence
1,1,0.4313,0.5744
10,1,0.1637,0.3902
100,1,0.8315,0.8453
101,0,0.0059,0.1242
102,1,0.8390,0.8525
103,1,0.9290,0.9656
104,0,0.0059,0.1242
105,1,0.7806,0.8009
106,1,0.8963,0.9166
107,1,0.6383,0.7002
108,1,0.1225,0.3512
109,0,0.0053,0.1193
11,1,0.8691,0.8838
110,1,0.2303,0.4436
111,1,0.7586,0.7836
112,1,0.6096,0.6820
113,0,0.0456,0.2484
114,1,0.1386,0.3672
115,0,0.0066,0.1289
116,0,0.0886,0.3130
117,1,0.8687,0.8834
118,1,0.3181,0.5041
119,1,0.7343,0.7654
12,1,0.8281,0.8421
120,1,0.8153,0.8304
121,1,0.8450,0.8584
122,1,0.8675,0.8821
123,1,0.7896,0.8083
124,1,0.6724,0.7224
125,1,0.6795,0.7271
126,1,0.3254,0.5088
127,0,0.0088,0.1418
128,1,0.7906,0.8091
129,1,0.4856,0.6069
13,1,0.3114,0.4998
130,1,0.1039,0.3311
131,1,0.8059,0.8221
132,1,0.8821,0.8989
133,1,0.9254,0.9594
134,1,0.9178,0.9473
135,0,0.0392,0.2359
136,1,0.6746,0.7238
137,0,0.0072,0.1328
138,1,0.9068,0.9310
139,1,0.8749,0.8904
14,1,0.5647,0.6543
140,1,0.1033,0.3304
141,1,0.6041,0.6786
142,0,0.0034,0.1031
143,1,0.5815,0.6646
144,1,0.7225,0.7568
145,1,0.2042,0.4237
146,0,0.0163,0.1747
147,1,0.7099,0.7479
148,1,0.6378,0.6998
149,0,0.0379,0.2330
15,0,0.0619,0.2761
150,1,0.3800,0.5432
151,1,0.4605,0.5919
152,1,0.2819,0.4801
153,1,0.2701,0.4720
154,1,0.8034,0.8199
155,1,0.8677,0.8823
156,1,0.7078,0.7464
157,1,0.6850,0.7308
158,1,0.1851,0.4084
159,1,0.8292,0.8432
16,1,0.7868,0.8059
160,1,0.8464,0.8599
161,1,0.7807,0.8010
162,1,0.8407,0.8542
163,1,0.7221,0.7565
164,1,0.4874,0.6079
165,1,0.4342,0.5762
166,1,0.5524,0.6469
167,1,0.3201,0.5054
168,1,0.7707,0.7930
169,1,0.8279,0.8419
17,1,0.6662,0.7183
170,1,0.6898,0.7340
171,1,0.8698,0.8846
172,1,0.4721,0.5988
173,1,0.6096,0.6820
174,1,0.8103,0.8259
175,1,0.6449,0.7044
176,1,0.7337,0.7649
177,1,0.8643,0.8785
178,1,0.3965,0.5533
179,1,0.2074,0.4262
18,1,0.3319,0.5130
180,1,0.5823,0.6651
181,1,0.1983,0.4191
182,1,0.6667,0.7186
183,1,0.2509,0.4585
184,1,0.8500,0.8635
185,1,0.2836,0.4813
186,1,0.3143,0.5017
187,1,0.1483,0.3763
188,1,0.4021,0.5567
189,1,0.8697,0.8845
19,1,0.4277,0.5722
190,0,0.0228,0.1959
191,1,0.2379,0.4492
192,1,0.7629,0.7869
193,1,0.8448,0.8582
194,1,0.2274,0.4415
195,1,0.8569,0.8706
196,1,0.6533,0.7098
197,1,0.8555,0.8691
198,1,0.4346,0.5764
199,1,0.1150,0.3434
2,1,0.8085,0.8244
20,1,0.8780,0.8940
200,1,0.8948,0.9147
201,1,0.2294,0.4429
202,1,0.8921,0.9113
203,1,0.4094,0.5612
204,1,0.8868,0.9046
205,1,0.8897,0.9082
206,0,0.0004,0.0488
207,1,0.1693,0.3951
208,1,0.8571,0.8708
209,1,0.7621,0.7863
21,1,0.2085,0.4271
210,1,0.7744,0.7959
211,1,0.6822,0.7289
212,1,0.7919,0.8102
213,1,0.6487,0.7069
214,1,0.8493,0.8628
215,1,0.4225,0.5691
216,1,0.9053,0.9288
217,1,0.8140,0.8292
218,1,0.5387,0.6387
219,0,0.0871,0.3111
22,1,0.5978,0.6747
220,1,0.1329,0.3616
221,0,0.0181,0.1813
222,1,0.1791,0.4035
223,1,0.8534,0.8670
224,0,0.0031,0.1002
225,1,0.7546,0.7805
226,1,0.7852,0.8047
227,1,0.8265,0.8406
228,1,0.5496,0.6452
229,1,0.8914,0.9103
23,0,0.0406,0.2388
230,1,0.6054,0.6794
231,1,0.6481,0.7064
232,1,0.6781,0.7262
233,1,0.7692,0.7918
234,1,0.7410,0.7703
235,1,0.6310,0.6955
236,1,0.5663,0.6554
237,1,0.8323,0.8460
238,1,0.7323,0.7639
239,1,0.1625,0.3891
24,1,0.6713,0.7217
240,1,0.7844,0.8040
241,1,0.6003,0.6762
242,0,0.0803,0.3024
243,1,0.8451,0.8585
