epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8693,2.40994,3.76985,2.09335,0.10782,0.09166,0.0388,0.01188,2.60621,4.01106,2.33967,0.000473627,0.000473627,0.000473627
2,42.3217,2.39877,3.35239,2.16177,0.09991,0.18377,0.03975,0.01295,2.63695,5.5989,2.39313,0.000949728,0.000949728,0.000949728
3,60.4857,2.42784,3.20734,2.17401,0.19453,0.15578,0.06396,0.01748,2.63534,3.70699,2.38494,0.0014249,0.0014249,0.0014249
4,79.2876,2.40844,3.1153,2.17417,0.20056,0.12196,0.08189,0.02753,2.53787,3.54789,2.40351,0.00142586,0.00142586,0.00142586
5,97.6332,2.34586,3.01474,2.12754,0.18157,0.14895,0.08536,0.02683,2.51097,3.17316,2.2508,0.00142342,0.00142342,0.00142342
6,115.92,2.30689,2.96999,2.10698,0.16533,0.15415,0.0833,0.0248,2.54137,3.18278,2.32299,0.00142029,0.00142029,0.00142029
7,134.078,2.29393,2.95923,2.10337,0.17895,0.17861,0.0975,0.03146,2.44045,3.01155,2.2399,0.00141647,0.00141647,0.00141647
8,152.303,2.27062,2.91704,2.08279,0.19807,0.15273,0.083,0.02678,2.46596,3.18298,2.24369,0.00141196,0.00141196,0.00141196
9,173.158,2.23558,2.9001,2.07743,0.22212,0.16913,0.11078,0.03702,2.41851,2.94279,2.24002,0.00140678,0.00140678,0.00140678
10,192.782,2.21423,2.82876,2.05588,0.2599,0.19689,0.11709,0.04149,2.39494,2.91538,2.23465,0.00140091,0.00140091,0.00140091
11,213.762,2.19873,2.77135,2.01379,0.2455,0.15408,0.13071,0.04571,2.34951,2.98594,2.23821,0.00139438,0.00139438,0.00139438
12,233.695,2.19609,2.74684,2.00876,0.28342,0.18788,0.12147,0.04109,2.37706,2.93767,2.20987,0.00138718,0.00138718,0.00138718
13,252.284,2.18201,2.70888,1.98698,0.23302,0.20931,0.13344,0.04668,2.28283,2.95814,2.22249,0.00137933,0.00137933,0.00137933
14,271.457,2.16048,2.69284,1.96596,0.29602,0.24073,0.17547,0.06279,2.3205,2.79197,2.09251,0.00137082,0.00137082,0.00137082
15,290.789,2.14103,2.64571,1.96267,0.29327,0.19863,0.1499,0.05564,2.31982,2.75657,2.17576,0.00136168,0.00136168,0.00136168
16,310.078,2.14375,2.64169,1.96141,0.28192,0.22688,0.1634,0.06358,2.2831,2.80505,2.12091,0.0013519,0.0013519,0.0013519
17,328.501,2.11746,2.60704,1.95475,0.25878,0.21217,0.13738,0.05022,2.31431,2.79607,2.2052,0.0013415,0.0013415,0.0013415
18,346.757,2.12025,2.58958,1.94824,0.21866,0.2356,0.14048,0.04867,2.33248,2.80982,2.15611,0.0013305,0.0013305,0.0013305
19,364.98,2.11436,2.60695,1.93869,0.30254,0.2517,0.18552,0.07295,2.2881,2.62809,2.12207,0.00131888,0.00131888,0.00131888
20,383.201,2.09021,2.54311,1.93596,0.3639,0.24129,0.20573,0.07815,2.2104,2.58416,2.0555,0.00130668,0.00130668,0.00130668
21,401.37,2.08478,2.50243,1.91079,0.29758,0.22005,0.17344,0.06622,2.29103,2.69889,2.15442,0.00129391,0.00129391,0.00129391
22,419.671,2.07966,2.50595,1.90107,0.32157,0.27468,0.21051,0.07926,2.2244,2.58176,2.06508,0.00128057,0.00128057,0.00128057
23,437.931,2.0682,2.47719,1.88998,0.28363,0.2535,0.17077,0.06228,2.27996,2.63582,2.08224,0.00126667,0.00126667,0.00126667
24,456.731,2.04094,2.46106,1.89074,0.31789,0.26017,0.20502,0.07775,2.22932,2.58844,2.07006,0.00125224,0.00125224,0.00125224
25,477.274,2.04474,2.45153,1.87284,0.29994,0.27368,0.19552,0.07473,2.23922,2.51774,2.06044,0.00123728,0.00123728,0.00123728
26,498.15,2.0467,2.43327,1.8853,0.33378,0.27177,0.20846,0.08031,2.20396,2.65303,2.06234,0.00122182,0.00122182,0.00122182
27,519.257,2.00699,2.41856,1.86552,0.30266,0.26292,0.20786,0.08056,2.24463,2.5648,2.07914,0.00120586,0.00120586,0.00120586
28,540.065,2.0118,2.38825,1.84905,0.32594,0.27635,0.22442,0.08921,2.16067,2.47499,2.01301,0.00118943,0.00118943,0.00118943
29,561.359,2.00826,2.36454,1.84757,0.31309,0.28213,0.21712,0.07892,2.23721,2.49678,2.0645,0.00117253,0.00117253,0.00117253
30,581.119,2.02972,2.36411,1.85757,0.32997,0.27705,0.21786,0.08729,2.20592,2.4806,2.06482,0.00115519,0.00115519,0.00115519
31,601.025,1.98625,2.33091,1.83851,0.34736,0.2697,0.21851,0.08237,2.20132,2.54931,2.00467,0.00113742,0.00113742,0.00113742
32,621.363,1.98319,2.30654,1.82167,0.3189,0.28131,0.22153,0.0808,2.21828,2.46871,2.01366,0.00111924,0.00111924,0.00111924
33,642.228,1.95708,2.26626,1.81764,0.39079,0.29192,0.27166,0.10714,2.16752,2.37238,2.01399,0.00110066,0.00110066,0.00110066
34,663.085,1.95347,2.21671,1.79915,0.38968,0.29911,0.25527,0.1033,2.15539,2.33426,1.995,0.00108172,0.00108172,0.00108172
35,684.709,1.97402,2.24755,1.81699,0.36721,0.30583,0.25985,0.10338,2.18616,2.33531,2.00842,0.00106242,0.00106242,0.00106242
36,704.452,1.94278,2.22978,1.80526,0.3771,0.30225,0.27625,0.11489,2.15966,2.28955,2.00366,0.00104278,0.00104278,0.00104278
37,723.579,1.94869,2.23519,1.7978,0.39298,0.32515,0.28322,0.10929,2.15485,2.32907,1.97171,0.00102282,0.00102282,0.00102282
38,744.533,1.93883,2.20159,1.78569,0.39341,0.3323,0.28458,0.11358,2.14869,2.28956,1.99301,0.00100257,0.00100257,0.00100257
39,765.605,1.93245,2.20175,1.79001,0.44472,0.31107,0.28751,0.12414,2.12232,2.25912,1.97565,0.00098204,0.00098204,0.00098204
40,786.295,1.91133,2.1422,1.75405,0.43631,0.31495,0.29368,0.11887,2.12568,2.30964,1.97729,0.000961253,0.000961253,0.000961253
41,807.667,1.90275,2.13093,1.76222,0.43456,0.3182,0.29064,0.11741,2.13994,2.26329,1.97639,0.00094023,0.00094023,0.00094023
42,826.787,1.90124,2.13997,1.75286,0.40638,0.30684,0.28944,0.12166,2.10542,2.25179,1.9174,0.000918991,0.000918991,0.000918991
43,847.126,1.88374,2.11354,1.74534,0.45301,0.32835,0.3057,0.12232,2.11947,2.24904,1.95935,0.000897557,0.000897557,0.000897557
44,867.906,1.87202,2.09715,1.74821,0.42152,0.34659,0.30067,0.12829,2.11446,2.18911,1.94434,0.00087595,0.00087595,0.00087595
45,888.399,1.88568,2.06657,1.73527,0.43371,0.33068,0.29308,0.12097,2.14011,2.27724,1.98777,0.00085419,0.00085419,0.00085419
46,908.599,1.88176,2.08732,1.74567,0.43071,0.33396,0.31173,0.12926,2.13489,2.21277,1.97295,0.0008323,0.0008323,0.0008323
47,928.832,1.87838,2.03029,1.72528,0.40057,0.32954,0.29266,0.12308,2.12661,2.24441,1.98827,0.0008103,0.0008103,0.0008103
48,948.275,1.8413,1.99886,1.71337,0.43202,0.34776,0.32642,0.14155,2.0812,2.13827,1.93797,0.000788213,0.000788213,0.000788213
