epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1013,2.43043,3.74755,2.18961,0.14356,0.09717,0.0323,0.00915,2.78011,4.28246,2.47084,0.000474097,0.000474097,0.000474097
2,140.629,2.55631,3.4213,2.36294,0.02424,0.04233,0.00441,0.00114,3.12217,4.67849,2.96943,0.000950327,0.000950327,0.000950327
3,211.015,2.54893,3.43228,2.36541,0.09015,0.13653,0.03348,0.00919,2.79945,5.07105,2.61518,0.00142614,0.00142614,0.00142614
4,281.601,2.50743,3.38777,2.35214,0.15372,0.10414,0.06611,0.023,2.64389,3.48324,2.51193,0.0014276,0.0014276,0.0014276
5,355.805,2.45475,3.30833,2.30349,0.15079,0.12527,0.04062,0.01187,2.60548,3.44793,2.43097,0.00142652,0.00142652,0.00142652
6,423.153,2.40123,3.25488,2.28643,0.16487,0.11495,0.06209,0.02073,2.51223,3.41728,2.37681,0.00142513,0.00142513,0.00142513
7,496.04,2.348,3.14456,2.22942,0.18092,0.11568,0.06355,0.0223,2.49355,3.33144,2.41019,0.00142342,0.00142342,0.00142342
8,569.167,2.32611,3.07669,2.1869,0.18556,0.13634,0.08667,0.03034,2.43218,3.11868,2.3128,0.00142141,0.00142141,0.00142141
9,639.866,2.3224,3.04703,2.18049,0.20525,0.1473,0.0974,0.03196,2.49634,3.15525,2.38035,0.00141909,0.00141909,0.00141909
10,711.646,2.27428,3.01886,2.14367,0.20883,0.16583,0.09992,0.03413,2.44609,3.0248,2.35005,0.00141647,0.00141647,0.00141647
11,779.295,2.24924,2.93063,2.11595,0.23268,0.15632,0.10943,0.03627,2.40534,2.98142,2.285,0.00141354,0.00141354,0.00141354
12,848.457,2.23287,2.90969,2.10111,0.21226,0.16238,0.10094,0.03698,2.3884,3.10371,2.2399,0.00141031,0.00141031,0.00141031
