epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.9072,3.72468,4.70795,3.03807,0.00049,0.06003,0.00014,3e-05,3.77552,4.59194,3.44618,0.000474097,0.000474097,0.000474097
2,117.291,3.43467,4.25405,2.81192,0.0015,0.15775,0.00087,0.00017,3.39819,4.2994,2.94756,0.000950327,0.000950327,0.000950327
3,175.07,3.15413,4.10909,2.73492,0.67079,0.02909,0.00314,0.0005,3.17326,4.25306,2.84101,0.00142614,0.00142614,0.00142614
4,232.052,3.00766,4.05849,2.65869,0.00288,0.26744,0.00573,0.00133,3.09446,4.21302,2.81455,0.0014276,0.0014276,0.0014276
5,289.238,2.93442,3.95778,2.56852,0.04226,0.03023,0.01013,0.00215,2.99596,4.04705,2.72387,0.00142652,0.00142652,0.00142652
6,346.077,2.82133,3.8514,2.49264,0.37072,0.01567,0.01372,0.00361,2.94448,3.86236,2.6065,0.00142513,0.00142513,0.00142513
7,402.686,2.75993,3.75251,2.43655,0.75765,0.04331,0.0278,0.00726,2.87905,3.8536,2.62433,0.00142342,0.00142342,0.00142342
8,76.6861,3.69875,4.5083,3.07026,0.00097,0.09995,0.00042,9e-05,3.48447,4.36248,3.18522,0.00142141,0.00142141,0.00142141
9,136.942,3.2892,4.1985,2.99181,0.00156,0.15271,0.00098,0.0002,3.23831,4.21961,3.08095,0.00141909,0.00141909,0.00141909
10,196.774,3.13252,4.13815,2.89937,0.00253,0.20581,0.00142,0.00032,3.14259,4.31774,3.04084,0.00141647,0.00141647,0.00141647
11,254.569,3.04296,4.06043,2.85486,0.00298,0.2834,0.00416,0.00111,3.06779,4.14264,2.97897,0.00141354,0.00141354,0.00141354
12,314.636,2.96805,3.98834,2.79738,0.00618,0.29913,0.01495,0.00416,3.01159,4.05797,2.89233,0.00141031,0.00141031,0.00141031
13,375.666,2.89083,3.90979,2.72615,0.7388,0.0339,0.02529,0.00688,2.93314,3.92407,2.81044,0.00140678,0.00140678,0.00140678
14,435.808,2.82199,3.87313,2.68217,0.5305,0.03074,0.01846,0.00512,2.87365,3.96018,2.80169,0.00140294,0.00140294,0.00140294
15,496.472,2.77674,3.80304,2.6343,0.48121,0.03948,0.03593,0.01081,2.8617,3.82063,2.83478,0.00139881,0.00139881,0.00139881
16,558.016,2.7469,3.74305,2.57289,0.42728,0.0376,0.02662,0.00838,2.76909,3.79561,2.73076,0.00139438,0.00139438,0.00139438
17,617.935,2.67634,3.67848,2.51375,0.42607,0.03766,0.0284,0.00801,2.80513,3.71748,2.69463,0.00138965,0.00138965,0.00138965
18,677.138,2.6294,3.60252,2.46463,0.08153,0.06397,0.04545,0.01375,2.71092,3.57774,2.6112,0.00138464,0.00138464,0.00138464
19,737.9,2.62137,3.57676,2.43322,0.2053,0.06873,0.04548,0.01539,2.6629,3.54595,2.53446,0.00137933,0.00137933,0.00137933
20,798.786,2.57798,3.55447,2.40709,0.15039,0.06905,0.03902,0.01391,2.73285,3.62725,2.58584,0.00137373,0.00137373,0.00137373
21,859.776,2.54096,3.48525,2.35622,0.15973,0.08154,0.04752,0.01222,2.63477,3.42037,2.49932,0.00136785,0.00136785,0.00136785
22,921.068,2.52016,3.43836,2.33822,0.23248,0.08816,0.05725,0.01519,2.61943,3.46644,2.5384,0.00136168,0.00136168,0.00136168
23,982.324,2.48442,3.39839,2.29847,0.18928,0.0687,0.04617,0.0131,2.6237,3.46733,2.47896,0.00135523,0.00135523,0.00135523
24,1043.84,2.4853,3.39208,2.28895,0.13979,0.08896,0.05723,0.01994,2.57251,3.37367,2.45824,0.00134851,0.00134851,0.00134851
25,1104.83,2.47348,3.37068,2.28377,0.17805,0.08917,0.06501,0.02341,2.55957,3.27538,2.40938,0.0013415,0.0013415,0.0013415
26,1166.19,2.44893,3.35745,2.2739,0.16858,0.1221,0.07147,0.02681,2.56457,3.3629,2.42531,0.00133423,0.00133423,0.00133423
27,1227.1,2.42829,3.31867,2.24854,0.15947,0.1175,0.07076,0.0243,2.53974,3.28651,2.43064,0.00132669,0.00132669,0.00132669
28,1284.48,2.42775,3.27477,2.24548,0.19254,0.13623,0.08535,0.03008,2.51194,3.18591,2.3606,0.00131888,0.00131888,0.00131888
29,1344.76,2.42033,3.26527,2.22478,0.17263,0.13407,0.07919,0.02795,2.51173,3.28308,2.35178,0.00131082,0.00131082,0.00131082
30,1406.49,2.41165,3.29461,2.23088,0.155,0.12816,0.07081,0.02284,2.54192,3.55306,2.35999,0.00130249,0.00130249,0.00130249
31,1468.73,2.39454,3.22767,2.20831,0.17033,0.12796,0.08329,0.02865,2.51502,3.20665,2.37648,0.00129391,0.00129391,0.00129391
32,1528.71,2.38354,3.18816,2.18761,0.16976,0.13192,0.08266,0.02852,2.50629,3.20846,2.36008,0.00128507,0.00128507,0.00128507
33,1589.83,2.35894,3.18544,2.18216,0.15378,0.11019,0.08681,0.03163,2.46461,3.18507,2.3628,0.00127599,0.00127599,0.00127599
34,1654.3,2.35966,3.17748,2.18486,0.17605,0.11186,0.07468,0.02396,2.48093,3.16111,2.30904,0.00126667,0.00126667,0.00126667
