epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.946,2.44941,3.75126,2.17847,0.06232,0.10097,0.02376,0.00733,2.73489,4.70374,2.71944,0.00047428,0.00047428,0.00047428
2,142.348,2.51792,3.40802,2.31189,0.15836,0.09062,0.0401,0.01092,2.86986,3.72746,2.69069,0.00095051,0.00095051,0.00095051
3,211.722,2.54811,3.49974,2.37779,0.09855,0.10621,0.04289,0.01373,2.7478,3.85769,2.6233,0.00142633,0.00142633,0.00142633
4,280.917,2.5194,3.4422,2.36151,0.14955,0.06312,0.03914,0.01121,2.7149,3.51723,2.52788,0.0014276,0.0014276,0.0014276
5,350.2,2.47204,3.36858,2.27174,0.1464,0.07619,0.03528,0.0113,2.60481,3.51695,2.51895,0.00142652,0.00142652,0.00142652
6,419.261,2.40773,3.22521,2.24394,0.21237,0.15578,0.07628,0.02607,2.50774,3.35806,2.31888,0.00142513,0.00142513,0.00142513
7,488.397,2.3851,3.20015,2.23284,0.1219,0.11137,0.06425,0.02546,2.54593,3.19283,2.37333,0.00142342,0.00142342,0.00142342
8,557.509,2.35537,3.14915,2.19176,0.21085,0.13954,0.106,0.04111,2.46661,3.02405,2.31318,0.00142141,0.00142141,0.00142141
9,626.754,2.31314,3.08588,2.14955,0.19184,0.1554,0.09306,0.03264,2.39799,3.06841,2.22153,0.00141909,0.00141909,0.00141909
10,695.941,2.30629,3.03442,2.12949,0.2593,0.17803,0.11673,0.03758,2.39224,3.17215,2.25124,0.00141647,0.00141647,0.00141647
11,765.078,2.26265,3.01651,2.11966,0.21616,0.18401,0.11929,0.03988,2.38747,2.90947,2.25826,0.00141354,0.00141354,0.00141354
12,833.944,2.2444,2.98401,2.12555,0.25139,0.17192,0.11251,0.03988,2.39182,2.92056,2.27535,0.00141031,0.00141031,0.00141031
13,903.167,2.24548,2.90445,2.10144,0.21502,0.19932,0.11825,0.03979,2.37607,2.97005,2.22483,0.00140678,0.00140678,0.00140678
14,972.548,2.20506,2.89453,2.06869,0.26539,0.18766,0.14715,0.05347,2.31925,2.79369,2.20877,0.00140294,0.00140294,0.00140294
15,1041.73,2.20693,2.88819,2.07044,0.24005,0.1858,0.12187,0.04349,2.37244,2.89031,2.25173,0.00139881,0.00139881,0.00139881
16,1111,2.17561,2.81937,2.05849,0.28464,0.21263,0.15241,0.05806,2.31036,2.76683,2.2202,0.00139438,0.00139438,0.00139438
17,1180.29,2.16775,2.80363,2.0442,0.27874,0.22214,0.15307,0.05425,2.26364,2.93798,2.16772,0.00138965,0.00138965,0.00138965
18,1249.55,2.18759,2.81496,2.04696,0.29543,0.23034,0.15484,0.05582,2.26977,2.81117,2.17087,0.00138464,0.00138464,0.00138464
19,1319.08,2.15481,2.74297,2.02008,0.28317,0.22314,0.16395,0.06295,2.27682,2.71061,2.2218,0.00137933,0.00137933,0.00137933
20,1388.72,2.12868,2.74357,1.99997,0.29918,0.23855,0.17884,0.06069,2.26791,2.62807,2.13065,0.00137373,0.00137373,0.00137373
21,1458.23,2.13816,2.72899,2.00666,0.24586,0.22757,0.15347,0.05608,2.26565,2.74931,2.17665,0.00136785,0.00136785,0.00136785
22,1527.55,2.09947,2.67747,1.98564,0.32943,0.24215,0.18303,0.06651,2.22885,2.65097,2.1396,0.00136168,0.00136168,0.00136168
23,1596.94,2.10552,2.63697,1.99397,0.28829,0.2357,0.1713,0.05741,2.2666,2.62019,2.14789,0.00135523,0.00135523,0.00135523
24,1666.28,2.10932,2.64624,1.9836,0.27746,0.23591,0.17783,0.06343,2.21334,2.63512,2.1374,0.00134851,0.00134851,0.00134851
25,1735.62,2.09334,2.60869,1.98509,0.32972,0.24583,0.19853,0.07161,2.23515,2.58836,2.10855,0.0013415,0.0013415,0.0013415
26,1805.04,2.0861,2.57296,1.95312,0.33054,0.26352,0.19885,0.0723,2.2424,2.64279,2.13306,0.00133423,0.00133423,0.00133423
27,1874.65,2.06098,2.55673,1.9611,0.30919,0.28028,0.21748,0.08155,2.19147,2.57621,2.08641,0.00132669,0.00132669,0.00132669
28,1944.19,2.07,2.54247,1.93994,0.34881,0.24143,0.19951,0.07214,2.22781,2.56449,2.13356,0.00131888,0.00131888,0.00131888
29,2013.64,2.05072,2.53283,1.93344,0.32025,0.27778,0.20286,0.07715,2.17686,2.51873,2.09404,0.00131082,0.00131082,0.00131082
30,2083.04,2.03768,2.4948,1.92566,0.29002,0.23807,0.17208,0.06037,2.2941,2.64898,2.1612,0.00130249,0.00130249,0.00130249
31,2152.34,2.02081,2.50347,1.92105,0.36427,0.25964,0.2253,0.08727,2.20239,2.50584,2.10302,0.00129391,0.00129391,0.00129391
32,2221.65,2.03643,2.49269,1.91642,0.34817,0.28186,0.22168,0.08689,2.19321,2.56298,2.09452,0.00128507,0.00128507,0.00128507
33,2291.06,2.03085,2.45594,1.91437,0.36259,0.26065,0.21571,0.08287,2.19786,2.4441,2.07958,0.00127599,0.00127599,0.00127599
34,2360.31,2.02537,2.45622,1.90599,0.36348,0.28679,0.23887,0.09658,2.16178,2.4403,2.05341,0.00126667,0.00126667,0.00126667
35,2429.76,2.00872,2.41723,1.90614,0.33854,0.28807,0.22752,0.0866,2.17516,2.53081,2.05594,0.00125711,0.00125711,0.00125711
36,2498.92,2.00565,2.38932,1.89483,0.39506,0.28995,0.25143,0.09566,2.20552,2.42224,2.07827,0.00124731,0.00124731,0.00124731
37,2568.14,2.00214,2.40483,1.89805,0.38295,0.28746,0.25587,0.10568,2.15567,2.42191,2.05163,0.00123728,0.00123728,0.00123728
38,2637.46,1.99456,2.37739,1.87589,0.37744,0.31709,0.25428,0.09848,2.17525,2.41579,2.05711,0.00122703,0.00122703,0.00122703
39,2706.68,1.98443,2.35078,1.87613,0.36389,0.30294,0.24024,0.09521,2.14494,2.39816,2.04008,0.00121656,0.00121656,0.00121656
40,2775.87,1.97041,2.36799,1.87444,0.40912,0.30842,0.25724,0.09968,2.16645,2.42287,2.06657,0.00120586,0.00120586,0.00120586
41,2845.06,1.9713,2.32133,1.88256,0.39324,0.27786,0.25651,0.10297,2.13629,2.40903,2.05797,0.00119496,0.00119496,0.00119496
42,2914.23,1.94881,2.30626,1.86472,0.34691,0.30156,0.25759,0.10626,2.1655,2.38116,2.0392,0.00118385,0.00118385,0.00118385
43,2983.37,1.95887,2.31688,1.86605,0.39696,0.31916,0.27563,0.11241,2.10903,2.34994,1.99774,0.00117253,0.00117253,0.00117253
44,3052.76,1.92089,2.26739,1.84641,0.41902,0.29467,0.27234,0.1143,2.12768,2.34471,2.02819,0.00116102,0.00116102,0.00116102
45,3121.92,1.92527,2.25842,1.84567,0.38869,0.31959,0.27256,0.11115,2.14203,2.36837,2.047,0.00114931,0.00114931,0.00114931
