epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.116,3.13779,4.58986,3.78859,0.06511,0.10089,0.0182,0.00546,2.88152,5.39889,3.3072,0.000474097,0.000474097,0.000474097
2,222.07,2.68842,4.04403,3.11595,0.01736,0.0866,0.00624,0.0014,2.85085,20.5912,3.26342,0.000950327,0.000950327,0.000950327
3,324.845,2.57758,3.8459,2.94176,0.04307,0.0934,0.01828,0.00428,2.67477,4.53721,3.05352,0.00142614,0.00142614,0.00142614
4,434.379,2.51063,3.70265,2.84829,0.11617,0.08375,0.03888,0.01284,2.60882,3.83646,2.97043,0.0014276,0.0014276,0.0014276
5,542.13,2.47713,3.57894,2.79552,0.11708,0.13437,0.04942,0.01419,2.58224,4.08223,2.91113,0.00142652,0.00142652,0.00142652
6,646.451,2.43838,3.50862,2.72852,0.17167,0.12416,0.07754,0.02594,2.5227,3.5463,2.79587,0.00142513,0.00142513,0.00142513
7,747.32,2.37858,3.39819,2.68399,0.15884,0.12919,0.07333,0.02669,2.45023,3.90413,2.75047,0.00142342,0.00142342,0.00142342
8,850.086,2.33987,3.35738,2.64878,0.25306,0.13231,0.09411,0.02832,2.39962,3.24596,2.7158,0.00142141,0.00142141,0.00142141
9,952.818,2.32945,3.30205,2.59832,0.27042,0.14995,0.11416,0.03567,2.39833,3.25921,2.67777,0.00141909,0.00141909,0.00141909
10,1055.81,2.28162,3.25937,2.56123,0.20844,0.20413,0.10527,0.03344,2.34535,3.72753,2.66946,0.00141647,0.00141647,0.00141647
11,1159.12,2.27294,3.18731,2.54649,0.2546,0.15767,0.105,0.03415,2.40597,3.24521,2.69573,0.00141354,0.00141354,0.00141354
12,1262.57,2.25791,3.17919,2.54441,0.1992,0.1846,0.08909,0.02811,2.35185,3.49614,2.62062,0.00141031,0.00141031,0.00141031
13,1365.58,2.22834,3.18661,2.51441,0.20653,0.19069,0.12814,0.04415,2.35645,3.13262,2.60503,0.00140678,0.00140678,0.00140678
14,1468.73,2.2055,3.08474,2.48227,0.25329,0.2086,0.14352,0.05087,2.3091,3.06418,2.59334,0.00140294,0.00140294,0.00140294
15,1571.6,2.18931,3.05621,2.47142,0.25597,0.18478,0.13322,0.05168,2.32559,3.00958,2.57854,0.00139881,0.00139881,0.00139881
16,1674.55,2.18778,3.04393,2.46035,0.24938,0.19719,0.13181,0.04636,2.28108,3.01905,2.52846,0.00139438,0.00139438,0.00139438
17,1777.84,2.15607,3.01475,2.42392,0.29484,0.21052,0.16137,0.05347,2.32359,3.0378,2.58164,0.00138965,0.00138965,0.00138965
18,1880.59,2.1596,3.00298,2.41979,0.33175,0.21286,0.16668,0.05892,2.29746,2.94156,2.59822,0.00138464,0.00138464,0.00138464
19,1983.82,2.17143,3.01565,2.436,0.25104,0.22048,0.15451,0.05647,2.30117,3.01858,2.58274,0.00137933,0.00137933,0.00137933
20,2086.78,2.12019,2.93753,2.39869,0.30016,0.22734,0.16867,0.06417,2.26765,2.86274,2.50959,0.00137373,0.00137373,0.00137373
21,2189.83,2.12883,2.91548,2.38142,0.27793,0.2595,0.17594,0.06599,2.24635,2.93385,2.49995,0.00136785,0.00136785,0.00136785
22,2292.68,2.10142,2.85094,2.35906,0.29597,0.24528,0.18276,0.07145,2.20815,2.85986,2.45898,0.00136168,0.00136168,0.00136168
23,2395.85,2.0865,2.91038,2.36029,0.28348,0.22849,0.17434,0.06188,2.21652,2.83806,2.49772,0.00135523,0.00135523,0.00135523
24,2499.8,2.07001,2.82698,2.3611,0.27895,0.25754,0.18378,0.07072,2.18933,2.79189,2.45839,0.00134851,0.00134851,0.00134851
