epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1552,2.42856,3.96293,2.17331,0.0388,0.06821,0.01438,0.00466,2.80452,5.27101,2.70197,0.000474097,0.000474097,0.000474097
2,129.683,2.52906,3.5339,2.28416,0.35991,0.06334,0.02042,0.00498,2.87223,4.76778,2.60461,0.000950327,0.000950327,0.000950327
3,193.783,2.54886,3.61567,2.33567,0.37568,0.08729,0.02749,0.00779,2.70061,4.88791,2.43585,0.00142614,0.00142614,0.00142614
4,257.795,2.5201,3.58862,2.30217,0.10979,0.09351,0.05586,0.01581,2.7022,3.40626,2.54101,0.0014276,0.0014276,0.0014276
5,321.866,2.46588,3.51221,2.27402,0.18248,0.13571,0.0687,0.02231,2.55898,3.27283,2.34587,0.00142652,0.00142652,0.00142652
6,386.069,2.41291,3.40568,2.25201,0.17424,0.12668,0.0654,0.02391,2.47685,3.74836,2.4236,0.00142513,0.00142513,0.00142513
7,450.424,2.34881,3.29126,2.1847,0.20679,0.15225,0.08897,0.03101,2.48296,3.20763,2.33737,0.00142342,0.00142342,0.00142342
8,514.475,2.33111,3.23344,2.15409,0.20989,0.18776,0.08993,0.0294,2.43146,3.20619,2.28822,0.00142141,0.00142141,0.00142141
9,578.378,2.29409,3.17866,2.10918,0.18877,0.12282,0.09141,0.03072,2.5029,2.95968,2.26842,0.00141909,0.00141909,0.00141909
10,642.375,2.25436,3.15246,2.09163,0.21164,0.20019,0.13071,0.04737,2.40513,2.98866,2.22866,0.00141647,0.00141647,0.00141647
11,706.413,2.24125,3.04903,2.07099,0.23748,0.1739,0.12804,0.04714,2.43666,2.94957,2.26217,0.00141354,0.00141354,0.00141354
12,770.552,2.2328,3.05887,2.06884,0.23809,0.19721,0.13421,0.04561,2.41897,2.90449,2.25747,0.00141031,0.00141031,0.00141031
13,834.648,2.22165,3.07718,2.07586,0.24594,0.20836,0.14987,0.05443,2.34626,2.75073,2.20821,0.00140678,0.00140678,0.00140678
14,898.611,2.20984,3.00109,2.06186,0.25517,0.2011,0.1436,0.05619,2.3014,2.87816,2.18016,0.00140294,0.00140294,0.00140294
15,962.628,2.17952,2.99989,2.04095,0.24626,0.20782,0.14571,0.05616,2.36814,2.78501,2.20107,0.00139881,0.00139881,0.00139881
16,1026.79,2.17861,2.96215,2.03009,0.27148,0.21083,0.15009,0.05727,2.33604,2.81808,2.20352,0.00139438,0.00139438,0.00139438
17,1090.85,2.15647,2.91862,2.01784,0.28354,0.21101,0.15447,0.05574,2.35986,2.79692,2.20032,0.00138965,0.00138965,0.00138965
18,1154.56,2.1512,2.89815,2.02421,0.28713,0.22221,0.15769,0.05508,2.30929,2.72992,2.16159,0.00138464,0.00138464,0.00138464
19,1218.44,2.15781,2.95409,2.02222,0.29519,0.22463,0.17978,0.06804,2.27328,2.64021,2.10519,0.00137933,0.00137933,0.00137933
20,1282.48,2.11737,2.86885,1.98584,0.33236,0.22323,0.17673,0.06579,2.29319,2.80185,2.14405,0.00137373,0.00137373,0.00137373
21,1346.33,2.10631,2.81579,1.96798,0.29096,0.24514,0.17476,0.05746,2.29063,2.68497,2.11887,0.00136785,0.00136785,0.00136785
22,1410.38,2.09833,2.79134,1.96154,0.26337,0.23815,0.1768,0.0667,2.2829,2.7201,2.10416,0.00136168,0.00136168,0.00136168
