epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.2503,2.64723,0.24303,2.50521,0.00781,0.06327,0.00216,0.00055,2.91896,34.3006,3.25511,0.000474097,0.000474097,0.000474097
2,144.338,2.79177,0.20984,2.76181,0.00237,0.19083,0.00164,0.00033,2.95178,51.8306,2.94771,0.000927404,0.000927404,0.000927404
3,217.576,2.81521,0.20826,2.82889,0.00233,0.22131,0.00139,0.00035,2.88973,43.6254,2.88915,0.00129188,0.00129188,0.00129188
4,290.211,2.72405,0.20976,2.74281,0.00374,0.30344,0.00458,0.00099,2.77644,38.1057,2.79154,0.00113742,0.00113742,0.00113742
5,364.914,2.60988,0.21135,2.67107,0.00668,0.3667,0.01305,0.0033,2.53955,32.7094,2.63421,0.00094023,0.00094023,0.00094023
6,434.623,2.5,0.21277,2.57801,0.04713,0.12273,0.02152,0.0058,2.41998,28.6677,2.53996,0.000721645,0.000721645,0.000721645
7,504.604,2.39781,0.21495,2.51207,0.07371,0.05432,0.03663,0.01202,2.41597,31.9547,2.51942,0.00050306,0.00050306,0.00050306
8,575.297,2.32017,0.21527,2.44513,0.1051,0.07605,0.05325,0.01772,2.28781,28.1039,2.41392,0.000305872,0.000305872,0.000305872
9,653.85,2.26186,0.21609,2.39944,0.12817,0.07663,0.05313,0.0193,2.24484,26.1506,2.36042,0.000149383,0.000149383,0.000149383
10,764.858,2.21879,0.21548,2.3718,0.13407,0.09037,0.06084,0.02162,2.21443,25.8994,2.34837,4.89104e-05,4.89104e-05,4.89104e-05
