epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.1856,2.40183,0.24549,2.2362,0.01074,0.07869,0.00193,0.00051,3.20872,30.336,4.19979,0.000474097,0.000474097,0.000474097
2,175.709,2.54799,0.20811,2.45499,0.01394,0.18344,0.00528,0.00139,2.91261,43.6963,2.9948,0.000950327,0.000950327,0.000950327
3,262.916,2.57679,0.21021,2.51452,0.00328,0.29122,0.00387,0.00132,2.80792,39.5406,2.80986,0.00142614,0.00142614,0.00142614
4,356.956,2.51663,0.21478,2.4965,0.01583,0.20231,0.00457,0.0013,2.91272,37.7354,2.83258,0.0014276,0.0014276,0.0014276
5,449.632,2.46324,0.21658,2.44656,0.17026,0.05433,0.02651,0.0073,2.61276,33.9526,2.62332,0.00142652,0.00142652,0.00142652
6,541.059,2.39231,0.21745,2.40946,0.02497,0.03258,0.01709,0.00491,2.63935,41.0018,2.69237,0.00142513,0.00142513,0.00142513
7,628.549,2.35178,0.21687,2.38068,0.00799,0.38358,0.00919,0.00244,2.49547,39.2079,2.54167,0.00142342,0.00142342,0.00142342
8,711.535,2.29181,0.21875,2.34636,0.07138,0.05663,0.02337,0.0064,2.49191,40.6238,2.52596,0.00142141,0.00142141,0.00142141
9,796.213,2.29187,0.21502,2.29997,0.37855,0.05273,0.03009,0.01052,2.41903,34.2017,2.52065,0.00141909,0.00141909,0.00141909
10,880.671,2.25524,0.21624,2.2803,0.09159,0.04674,0.03362,0.01009,2.46593,31.0997,2.46511,0.00141647,0.00141647,0.00141647
11,963.398,2.19707,0.25165,2.2476,0.13061,0.0762,0.04853,0.01405,2.31108,41.5244,2.39816,0.00141354,0.00141354,0.00141354
12,1047.44,2.1836,0.25161,2.22022,0.11281,0.08973,0.04196,0.01529,2.27241,46.6725,2.38197,0.00141031,0.00141031,0.00141031
13,1128.92,2.17661,0.25182,2.2167,0.09128,0.0979,0.03717,0.01263,2.33526,40.87,2.39296,0.00140678,0.00140678,0.00140678
14,1208.35,2.16026,0.25121,2.20219,0.10549,0.10891,0.036,0.0118,2.29763,43.7329,2.36263,0.00140294,0.00140294,0.00140294
15,1286.14,2.14003,0.25311,2.19784,0.08746,0.0913,0.03689,0.01066,2.29425,45.052,2.36431,0.00139881,0.00139881,0.00139881
16,1368.09,2.12034,0.25385,2.16564,0.05668,0.12783,0.01927,0.00584,2.29212,49.0709,2.40466,0.00139438,0.00139438,0.00139438
17,1449.53,2.11954,0.25294,2.16486,0.11192,0.10651,0.04241,0.01426,2.24944,41.3938,2.34594,0.00138965,0.00138965,0.00138965
18,1529.66,2.10772,0.25421,2.17027,0.11064,0.09946,0.0452,0.01397,2.2805,39.7171,2.35872,0.00138464,0.00138464,0.00138464
19,1608.52,2.08593,0.25359,2.14678,0.0916,0.14588,0.06335,0.02047,2.19546,41.9735,2.28187,0.00137933,0.00137933,0.00137933
20,1687.25,2.0612,0.25128,2.10539,0.15292,0.11351,0.06812,0.02539,2.14316,37.6868,2.20741,0.00137373,0.00137373,0.00137373
21,1765.71,2.05641,0.25682,2.11163,0.08925,0.1338,0.04347,0.0147,2.20016,37.1271,2.30536,0.00136785,0.00136785,0.00136785
22,1844.23,2.03852,0.25574,2.09789,0.14008,0.1288,0.06091,0.01976,2.16607,46.3235,2.28956,0.00136168,0.00136168,0.00136168
23,1923.34,2.04436,0.25751,2.10019,0.15261,0.13504,0.06236,0.02118,2.21623,42.5098,2.30794,0.00135523,0.00135523,0.00135523
24,2001.39,2.01038,0.25466,2.09525,0.1628,0.13405,0.07193,0.02568,2.11125,45.0105,2.24094,0.00134851,0.00134851,0.00134851
25,2080.9,2.01554,0.255,2.0719,0.14725,0.13403,0.07813,0.0284,2.16879,36.6942,2.22842,0.0013415,0.0013415,0.0013415
26,2160.59,1.97941,0.25793,2.06898,0.17172,0.13327,0.06848,0.02542,2.14413,41.8012,2.20563,0.00133423,0.00133423,0.00133423
27,2240.32,1.99313,0.25641,2.06323,0.14407,0.13145,0.0636,0.02305,2.10844,41.7243,2.20235,0.00132669,0.00132669,0.00132669
28,2319.61,1.9676,0.25586,2.03672,0.17448,0.16757,0.07301,0.02687,2.11073,40.9096,2.22035,0.00131888,0.00131888,0.00131888
29,2399.11,1.96637,0.25435,2.02965,0.16153,0.14779,0.08212,0.02786,2.142,39.5916,2.213,0.00131082,0.00131082,0.00131082
30,2477.72,1.94144,0.25764,2.02021,0.15804,0.13463,0.07144,0.0257,2.09654,36.7048,2.20204,0.00130249,0.00130249,0.00130249
31,2554.21,1.93225,0.25608,2.01436,0.16524,0.14781,0.08063,0.0301,2.09874,41.4798,2.20298,0.00129391,0.00129391,0.00129391
32,2629.36,1.94295,0.25684,2.0273,0.20486,0.15223,0.0857,0.03022,2.0708,43.0699,2.2191,0.00128507,0.00128507,0.00128507
33,2704.9,1.94884,0.25401,2.02261,0.17273,0.1757,0.08611,0.03208,2.06085,44.2417,2.18838,0.00127599,0.00127599,0.00127599
34,2780.03,1.9365,0.25168,2.00478,0.25318,0.16359,0.09722,0.03383,2.05109,43.5198,2.12553,0.00126667,0.00126667,0.00126667
35,2855.3,1.91968,0.25512,1.99917,0.17021,0.16632,0.09534,0.03716,2.01939,43.4009,2.18385,0.00125711,0.00125711,0.00125711
36,2930.5,1.90772,0.25215,1.97747,0.19687,0.15353,0.08837,0.03543,2.02207,44.5738,2.15275,0.00124731,0.00124731,0.00124731
37,3005.45,1.8935,0.2533,1.95962,0.18583,0.17445,0.09387,0.03444,1.99232,38.6678,2.09629,0.00123728,0.00123728,0.00123728
38,3080.83,1.86596,0.2558,1.9582,0.19076,0.1617,0.09178,0.03454,2.01701,35.7688,2.11722,0.00122703,0.00122703,0.00122703
39,3155.55,1.89701,0.2526,1.96197,0.2027,0.18463,0.09642,0.03999,2.04165,42.9542,2.10981,0.00121656,0.00121656,0.00121656
40,3231.2,1.88089,0.25357,1.9624,0.20577,0.18564,0.09731,0.03737,2.00329,42.2674,2.102,0.00120586,0.00120586,0.00120586
41,3305.51,1.85954,0.24824,1.93336,0.20681,0.1873,0.09013,0.03339,1.9989,39.2482,2.12491,0.00119496,0.00119496,0.00119496
42,3380.46,1.84901,0.24847,1.94119,0.17778,0.22066,0.09925,0.03935,1.97513,40.7964,2.11617,0.00118385,0.00118385,0.00118385
43,3456.38,1.84479,0.2498,1.93664,0.20515,0.1886,0.09233,0.03603,1.96718,46.3025,2.0961,0.00117253,0.00117253,0.00117253
44,3532.33,1.84135,0.24771,1.92976,0.25052,0.16965,0.10977,0.03928,2.00784,40.4504,2.08843,0.00116102,0.00116102,0.00116102
45,3607.33,1.83711,0.24797,1.92728,0.22866,0.18717,0.10073,0.03957,1.97914,37.2595,2.07356,0.00114931,0.00114931,0.00114931
46,3682.73,1.83375,0.24912,1.92884,0.2069,0.23032,0.11576,0.04428,1.9433,45.73,2.05386,0.00113742,0.00113742,0.00113742
47,3758.87,1.82403,0.24761,1.90706,0.19488,0.23573,0.1182,0.04674,1.94826,45.0362,2.07264,0.00112534,0.00112534,0.00112534
48,3834.46,1.82046,0.25197,1.92423,0.18913,0.17659,0.09501,0.03464,1.96523,43.2457,2.1187,0.00111309,0.00111309,0.00111309
49,3909.95,1.804,0.24979,1.90734,0.18796,0.21191,0.11,0.04242,1.92517,48.3598,2.06247,0.00110066,0.00110066,0.00110066
50,3986.07,1.78701,0.24901,1.9032,0.20647,0.23567,0.1064,0.03665,1.94526,45.2948,2.04992,0.00108807,0.00108807,0.00108807
51,4060.94,1.78475,0.22954,1.88161,0.20793,0.26543,0.11616,0.04264,1.8977,48.0135,2.02519,0.00107532,0.00107532,0.00107532
52,4136.42,1.77807,0.23041,1.90361,0.21117,0.25204,0.12041,0.04609,1.94289,56.2283,2.07467,0.00106242,0.00106242,0.00106242
53,4212.1,1.77917,0.22822,1.89041,0.18291,0.28016,0.10904,0.03831,1.91666,62.1745,2.01835,0.00104936,0.00104936,0.00104936
54,4286.94,1.77514,0.2275,1.87613,0.1751,0.30922,0.12159,0.04726,1.91182,59.1143,2.02279,0.00103616,0.00103616,0.00103616
55,4362.79,1.77522,0.22492,1.86682,0.2244,0.31691,0.12651,0.04741,1.90221,53.9046,2.01909,0.00102282,0.00102282,0.00102282
56,4437.89,1.75864,0.22699,1.87086,0.13606,0.33013,0.10838,0.04308,1.89024,50.3236,2.01454,0.00100935,0.00100935,0.00100935
57,4512.9,1.73115,0.22865,1.85132,0.1651,0.32577,0.11265,0.04417,1.89238,57.2049,2.00679,0.000995756,0.000995756,0.000995756
58,4587.97,1.74999,0.22897,1.85617,0.18649,0.31428,0.1213,0.04641,1.87952,49.3871,2.01467,0.00098204,0.00098204,0.00098204
59,4663.32,1.72645,0.22831,1.84637,0.1831,0.31008,0.1246,0.04986,1.86949,55.0663,2.01014,0.000968209,0.000968209,0.000968209
60,4738.67,1.7399,0.22664,1.84238,0.19254,0.32878,0.12573,0.04764,1.88179,58.6556,1.98718,0.00095427,0.00095427,0.00095427
61,4814.15,1.72463,0.18164,1.83119,0.16852,0.36116,0.1204,0.04631,1.86543,128.997,1.97365,0.00094023,0.00094023,0.00094023
62,4889.81,1.70193,0.17678,1.81119,0.16738,0.37018,0.1142,0.04861,1.85511,126.063,1.96762,0.000926093,0.000926093,0.000926093
63,4965.67,1.71412,0.17703,1.81409,0.16652,0.35815,0.10561,0.04097,1.89529,126.989,1.9802,0.000911867,0.000911867,0.000911867
64,5041.15,1.70011,0.17737,1.82614,0.15399,0.36067,0.1133,0.04543,1.81573,124.181,1.95304,0.000897557,0.000897557,0.000897557
65,5116.73,1.68494,0.1757,1.8067,0.16703,0.35689,0.12246,0.04858,1.84921,123.106,1.95586,0.00088317,0.00088317,0.00088317
66,5192.22,1.68741,0.1768,1.8151,0.15188,0.34618,0.11465,0.04491,1.82488,121.917,1.96195,0.000868712,0.000868712,0.000868712
67,5267.87,1.68985,0.176,1.8073,0.17168,0.35632,0.12504,0.04848,1.80743,117.501,1.91923,0.00085419,0.00085419,0.00085419
68,5343.28,1.69387,0.17663,1.7995,0.15904,0.37294,0.11318,0.04333,1.82254,127.872,1.94141,0.00083961,0.00083961,0.00083961
69,5419.47,1.67001,0.17728,1.7752,0.12873,0.37042,0.11566,0.04855,1.81721,121.457,1.94476,0.000824978,0.000824978,0.000824978
70,5495.3,1.65967,0.17664,1.76746,0.18296,0.35697,0.13544,0.05421,1.8152,122.787,1.95242,0.0008103,0.0008103,0.0008103
71,5571.15,1.63565,0.12083,1.7498,0.21667,0.4242,0.08233,0.03155,1.80028,229.948,1.92515,0.000795584,0.000795584,0.000795584
72,5647.55,1.65323,0.11636,1.76449,0.41049,0.19328,0.08199,0.03307,1.81453,252.46,1.91431,0.000780835,0.000780835,0.000780835
73,5723.65,1.64141,0.11608,1.7745,0.17589,0.41275,0.07445,0.02798,1.78972,277.293,1.91972,0.00076606,0.00076606,0.00076606
74,5799.59,1.65815,0.11607,1.77181,0.17173,0.44994,0.08478,0.03416,1.77118,306.159,1.88815,0.000751266,0.000751266,0.000751266
75,5875.27,1.62273,0.11595,1.75278,0.32349,0.27855,0.09626,0.0381,1.77285,292.523,1.89706,0.000736459,0.000736459,0.000736459
76,5950.78,1.61292,0.1164,1.75194,0.22405,0.32294,0.08153,0.03002,1.76568,331.189,1.90416,0.000721645,0.000721645,0.000721645
77,6026.6,1.61286,0.11625,1.75451,0.24475,0.36121,0.07977,0.0326,1.75153,333.177,1.89795,0.000706831,0.000706831,0.000706831
78,6102.38,1.59048,0.11477,1.74105,0.18662,0.42628,0.10647,0.04032,1.76093,321.949,1.9071,0.000692024,0.000692024,0.000692024
79,6178.15,1.60312,0.11516,1.73417,0.19572,0.4029,0.08245,0.03343,1.76874,332.989,1.90183,0.00067723,0.00067723,0.00067723
80,6253.83,1.581,0.113,1.72391,0.17215,0.39547,0.07786,0.03085,1.74407,373.724,1.89361,0.000662455,0.000662455,0.000662455
81,6328.78,1.59996,0.25211,1.7316,0.0825,0.50583,0.07328,0.03134,1.75464,160.282,1.88102,0.000647706,0.000647706,0.000647706
82,6408.91,1.58916,0.19232,1.71672,0.09442,0.46991,0.06256,0.02775,1.74934,191.176,1.8627,0.00063299,0.00063299,0.00063299
83,6484,1.57909,0.19066,1.7165,0.0981,0.47285,0.05421,0.02383,1.74456,199.731,1.87679,0.000618312,0.000618312,0.000618312
84,6559.44,1.58896,0.19274,1.71903,0.09957,0.45393,0.05359,0.02352,1.74289,210.802,1.88051,0.00060368,0.00060368,0.00060368
85,6634.23,1.58956,0.18839,1.70004,0.13916,0.42433,0.05018,0.02072,1.74994,227.943,1.85998,0.0005891,0.0005891,0.0005891
86,6712.07,1.59271,0.18916,1.70628,0.39449,0.13646,0.03876,0.01796,1.72626,230.06,1.85188,0.000574578,0.000574578,0.000574578
87,6788.31,1.57702,0.19153,1.70787,0.39274,0.14581,0.04025,0.01812,1.74073,240.567,1.86197,0.00056012,0.00056012,0.00056012
88,6863.74,1.56047,0.1885,1.69089,0.39579,0.13572,0.04345,0.02019,1.74125,251.57,1.87344,0.000545733,0.000545733,0.000545733
89,6938.97,1.54385,0.19325,1.70149,0.38505,0.17066,0.03769,0.01781,1.72221,276.922,1.84589,0.000531423,0.000531423,0.000531423
90,7014.45,1.55209,0.19042,1.68803,0.39727,0.15059,0.04128,0.0193,1.72286,273.985,1.84503,0.000517197,0.000517197,0.000517197
