epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.079,2.43724,3.64782,2.16474,0.11095,0.13532,0.03371,0.01056,2.85026,5.79702,2.73684,0.000473627,0.000473627,0.000473627
2,68.5811,2.44671,3.16823,2.25543,0.20904,0.12171,0.05464,0.0163,2.69224,4.5122,2.55973,0.000949857,0.000949857,0.000949857
3,101.931,2.4991,3.20382,2.28295,0.46862,0.08225,0.05417,0.01615,2.71402,4.17972,2.54686,0.00142567,0.00142567,0.00142567
4,136.533,2.46906,3.17568,2.24868,0.14478,0.1154,0.06781,0.02102,2.64318,3.6229,2.4844,0.0014276,0.0014276,0.0014276
5,170.516,2.41116,3.06111,2.22181,0.15683,0.1292,0.05614,0.01681,2.59078,3.33232,2.37682,0.00142652,0.00142652,0.00142652
6,204.242,2.33803,2.99579,2.15734,0.1966,0.15125,0.10239,0.03297,2.45767,3.01551,2.28349,0.00142513,0.00142513,0.00142513
7,240.682,2.29642,2.97421,2.1476,0.24359,0.16358,0.08741,0.03082,2.43778,3.26447,2.33523,0.00142342,0.00142342,0.00142342
8,276.363,2.28959,2.93032,2.14813,0.20713,0.17495,0.09626,0.03003,2.42656,2.96906,2.35123,0.00142141,0.00142141,0.00142141
9,311.891,2.24261,2.87546,2.11736,0.18951,0.2076,0.11133,0.03896,2.36565,2.95241,2.27971,0.00141909,0.00141909,0.00141909
10,346.908,2.19645,2.78164,2.08024,0.30545,0.22823,0.15814,0.0551,2.353,2.74958,2.16313,0.00141647,0.00141647,0.00141647
11,380.349,2.19979,2.75847,2.04953,0.26236,0.20877,0.13632,0.04784,2.33705,2.7909,2.17922,0.00141354,0.00141354,0.00141354
12,413.607,2.19362,2.7454,2.02008,0.28037,0.23702,0.1505,0.0496,2.33792,2.75311,2.18062,0.00141031,0.00141031,0.00141031
13,446.893,2.17437,2.68156,2.02817,0.24397,0.20991,0.14132,0.05139,2.34907,2.82307,2.20764,0.00140678,0.00140678,0.00140678
14,480.345,2.13526,2.64875,1.98419,0.28885,0.23475,0.16204,0.05644,2.33607,2.72532,2.17749,0.00140294,0.00140294,0.00140294
15,513.763,2.13778,2.63437,1.99836,0.28774,0.23732,0.17183,0.06414,2.32322,2.69424,2.2403,0.00139881,0.00139881,0.00139881
16,547.253,2.12327,2.62338,1.98966,0.29467,0.2321,0.16811,0.05651,2.32991,2.81749,2.15828,0.00139438,0.00139438,0.00139438
17,580.652,2.1066,2.56827,1.97131,0.29408,0.22422,0.18409,0.06413,2.29418,2.6737,2.17231,0.00138965,0.00138965,0.00138965
18,614.004,2.12441,2.54876,1.97409,0.34719,0.25681,0.19566,0.06735,2.26904,2.6104,2.11189,0.00138464,0.00138464,0.00138464
19,647.938,2.09008,2.53934,1.96088,0.32645,0.25324,0.20361,0.07689,2.28747,2.56305,2.135,0.00137933,0.00137933,0.00137933
20,683.322,2.08155,2.49765,1.95638,0.32796,0.25769,0.21494,0.08053,2.24331,2.50517,2.10869,0.00137373,0.00137373,0.00137373
21,717.829,2.0654,2.49376,1.94035,0.32482,0.27147,0.2098,0.08038,2.21285,2.53216,2.10279,0.00136785,0.00136785,0.00136785
22,751.216,2.05787,2.47029,1.92558,0.33286,0.28301,0.22462,0.08385,2.19561,2.57595,2.06635,0.00136168,0.00136168,0.00136168
23,784.666,2.05378,2.43509,1.90869,0.29535,0.27052,0.19864,0.07232,2.25031,2.56262,2.07859,0.00135523,0.00135523,0.00135523
24,818.082,2.01848,2.41138,1.89487,0.33662,0.2747,0.22586,0.07952,2.27083,2.52754,2.08745,0.00134851,0.00134851,0.00134851
25,851.491,2.03063,2.41397,1.90083,0.38866,0.29123,0.24779,0.0918,2.20422,2.46992,2.06711,0.0013415,0.0013415,0.0013415
26,886.541,2.02904,2.39728,1.92133,0.35669,0.28503,0.22766,0.08391,2.19401,2.57421,2.07513,0.00133423,0.00133423,0.00133423
27,920.759,1.99137,2.36259,1.88881,0.39373,0.28109,0.23853,0.09454,2.17294,2.42669,2.05049,0.00132669,0.00132669,0.00132669
28,954.262,1.99918,2.34496,1.87457,0.32628,0.27224,0.22325,0.08636,2.21629,2.63839,2.09302,0.00131888,0.00131888,0.00131888
29,987.734,1.97421,2.31592,1.85786,0.36258,0.29957,0.2469,0.09443,2.17193,2.40736,2.05643,0.00131082,0.00131082,0.00131082
30,1022.75,1.9936,2.31403,1.86107,0.39249,0.28282,0.24823,0.09814,2.21217,2.40242,2.06971,0.00130249,0.00130249,0.00130249
31,1058.7,1.96342,2.26622,1.83789,0.41426,0.2801,0.2611,0.10371,2.147,2.37033,1.99064,0.00129391,0.00129391,0.00129391
32,1094.73,1.96694,2.24715,1.84148,0.40267,0.30201,0.27377,0.10226,2.15533,2.31629,2.03517,0.00128507,0.00128507,0.00128507
33,1134.82,1.92669,2.19871,1.82347,0.37654,0.31418,0.26831,0.10707,2.15872,2.41118,2.0023,0.00127599,0.00127599,0.00127599
34,1171.29,1.94801,2.1803,1.82268,0.39402,0.2988,0.27599,0.1121,2.19135,2.38688,2.0561,0.00126667,0.00126667,0.00126667
35,1208.16,1.93589,2.19052,1.82082,0.38815,0.31219,0.2605,0.10801,2.17757,2.32754,2.0454,0.00125711,0.00125711,0.00125711
36,1244.73,1.92089,2.1788,1.81847,0.37872,0.3288,0.27624,0.10877,2.16128,2.3097,2.02782,0.00124731,0.00124731,0.00124731
37,1281.7,1.92786,2.17714,1.8172,0.43158,0.31453,0.286,0.11772,2.13328,2.34223,2.01415,0.00123728,0.00123728,0.00123728
38,1318.53,1.90086,2.13233,1.79568,0.41968,0.30451,0.28103,0.11695,2.12806,2.29091,1.99726,0.00122703,0.00122703,0.00122703
39,1354.64,1.91995,2.1506,1.80965,0.39764,0.31362,0.27509,0.11143,2.17424,2.30363,2.07268,0.00121656,0.00121656,0.00121656
40,1390.61,1.88907,2.07035,1.78291,0.43467,0.30534,0.27647,0.11075,2.16553,2.32254,2.05115,0.00120586,0.00120586,0.00120586
41,1427.28,1.8788,2.07653,1.76689,0.4424,0.31769,0.30268,0.12359,2.14728,2.24041,2.01107,0.00119496,0.00119496,0.00119496
42,1464.5,1.86857,2.05134,1.75652,0.43769,0.32876,0.3027,0.12712,2.08149,2.22472,1.97719,0.00118385,0.00118385,0.00118385
